code,description,price,category
41000,ROS BMS Diamondback,2150.0,BMS
41004,ROS BMS QCU HEATER,7650.21,BMS
41006,"CABLE, FLAT RIBBON, KEYPAD, BMS",59.61,BMS
41007,"CABLE, FLAT RIBBON, SMALL, INTERCONNECTION, BMS",74.65,BMS
41008,"CABLE, GROUND, 6', BLACK, -BMS",57.53,BMS
41009,"CABLE, 4 CONDUCTOR, 20', GRAY,BMS",136.35,BMS
41023,"DOOR, FOR -600 BMS",736.56,BMS
41061,"MOUNTING BRACKET, WITH HOOD, FOR BMS",417.07,BMS
41084,"STAND FOR BMS OR CQCU, SINGLE, NO WIRE TROUGH",661.09,BMS
41104,"STAND FOR BMS OR CQCU, DUAL, WITH WIRE TROUGH",1661.06,BMS
41105,"STAND FOR BMS OR CQCU, DUAL, NO WIRE TROUGH",1305.2,BMS
41135,"STAND FOR BMS OR CQCU, SINGLE, WITH WIRE TROUGH",777.19,BMS
41154,ROS BMS CONTROLLER,2687.5,BMS
41158,BMS 600 unit,4641.1,BMS
41192,BMS PM Multiple unit,150.0,BMS
41232,Heater BMS/Burner/Pilot PM,275.0,BMS
41233,Heater BMS/Burner/Pilot Service Call,115.0,BMS
41241,Heater BMS/Burner/Pilot PM Multiple Unit,150.0,BMS
41137,Flare arrestor PM1,nan,Flame Arrestor
41226,"1.5"" - 4"" Arrestor PM",250.0,Flame Arrestor
41227,"6"" - 12"" Arrestor PM",300.0,Flame Arrestor
41235,"1.5"" - 4"" Arrestor PM Multiple Unit",125.0,Flame Arrestor
41236,"6"" - 12"" Arrestor PM Multiple Unit",200.0,Flame Arrestor
42109,3'' Wenco flame arrestor,1207.97,Flame Arrestor
41073,"THERMOCOUPLE WIRE, ARMORED, WEATHER PROOF, YELLOW Typical use ( Flares and Jumper wire) not used on combustors",3.98,Flare/Combustor
41082,"THERMOCOUPLE CABLE, CLX, 16/1 Typical use ( Heaters and Combustors)",15.58,Flare/Combustor
41125,CLIP FLARE RAIL,32.07,Flare/Combustor
41218,"PIPE JIC FITTING, 1/4"" MJIC X 1/4"" FLARE",3.13,Flare/Combustor
41231,Flare Service Call,115.0,Flare/Combustor
41245,ROS 20' Flare Package Complete,19202.94,Flare/Combustor
42117,Flare trailer Rental,325.0,Flare/Combustor
41001,"600, PLUS, 3.17 SOFTWARE",5193.09,Hardware / Misc
41010,"Cable tray 4""x2""",24.48,Hardware / Misc
41011,1/2''X4 1/4'' WEDGE ANCHOR,50.92,Hardware / Misc
41012,Flameco 4'' Gas mixer,749.58,Hardware / Misc
41013,IGNITION MODULE,420.39,Hardware / Misc
41017,"PCB BOARD, DISPLAY, -500/600",830.03,Hardware / Misc
41018,"PCB BOARD, MAIN, 600 2.42 SOFTWARE",1753.31,Hardware / Misc
41019,"PCB BOARD, MODBUS INTERFACE,-600",731.92,Hardware / Misc
41020,"PCB BOARD, INTERFACE 4-20mA + MODBUS, 600",1334.13,Hardware / Misc
41021,DIN RAIL,3.81,Hardware / Misc
41024,REFURBISHED 600 DOOR,526.0,Hardware / Misc
41025,"PCB BOARD, ADAPTER",127.19,Hardware / Misc
41026,"PCB BOARD, MAIN, 600, PLUS SOFTWARE, 3.17",1810.2,Hardware / Misc
41027,"REFURBISHED PCB BOARD, MAIN, 600",1171.36,Hardware / Misc
41028,"FACEPLATE STICKER, 600",348.65,Hardware / Misc
41029,"BATTERY, 14AH, SLA",104.62,Hardware / Misc
41030,"BATTERY, 7AH, SLA",76.24,Hardware / Misc
41032,RIGHT ANGLE CONNECTOR/IGNITION MODULE,11.05,Hardware / Misc
41033,"FUSE, 5 AMP, CERAMIC",3.58,Hardware / Misc
41034,"1/4"" GAUGE, STAINLESS STEEL, 0-15 PSI",44.72,Hardware / Misc
